Compound,Label,struct_file_path,maximum_MendeleevNumber,range_MendeleevNumber,avg_dev_MendeleevNumber,range_AtomicWeight,mean_AtomicWeight,avg_dev_AtomicWeight,mode_AtomicWeight,range_MeltingT,mean_MeltingT,avg_dev_MeltingT,range_Column,avg_dev_Column,mode_Column,maximum_Row,range_Row,mean_Row,avg_dev_Row,maximum_CovalentRadius,range_CovalentRadius,mean_CovalentRadius,avg_dev_CovalentRadius,minimum_Electronegativity,maximum_Electronegativity,range_Electronegativity,mean_Electronegativity,avg_dev_Electronegativity,mode_Electronegativity,avg_dev_NsValence,mode_NsValence,range_NpValence,mean_NpValence,avg_dev_NpValence,mode_NpValence,range_NdValence,mean_NdValence,avg_dev_NdValence,mode_NdValence,range_NfValence,avg_dev_NfValence,minimum_NValence,range_NValence,mean_NValence,avg_dev_NValence,mode_NValence,range_NsUnfilled,avg_dev_NsUnfilled,minimum_NpUnfilled,maximum_NpUnfilled,range_NpUnfilled,mean_NpUnfilled,avg_dev_NpUnfilled,mode_NpUnfilled,range_NdUnfilled,avg_dev_NdUnfilled,range_NfUnfilled,avg_dev_NfUnfilled,minimum_NUnfilled,range_NUnfilled,mean_NUnfilled,avg_dev_NUnfilled,mode_NUnfilled,minimum_GSvolume_pa,range_GSvolume_pa,mean_GSvolume_pa,avg_dev_GSvolume_pa,mode_GSvolume_pa,avg_dev_GSbandgap,mode_GSbandgap,avg_dev_GSmagmom,maximum_SpaceGroupNumber,range_SpaceGroupNumber,mean_SpaceGroupNumber,avg_dev_SpaceGroupNumber,mode_SpaceGroupNumber,minimum_oxidation_state,range_oxidation_state,std_dev_oxidation_state,ewald_energy_per_atom,mean_absolute_deviation_in_relative_bond_length,max_relative_bond_length,min_relative_bond_length,minimum_neighbor_distance_variation,maximum_neighbor_distance_variation,range_neighbor_distance_variation,mean_neighbor_distance_variation,avg_dev_neighbor_distance_variation,mean_absolute_deviation_in_relative_cell_size,gii,struct_ordered,struct_disordered,avg_mm_dists,max_mx_dists,min_mx_dists,avg_mx_dists,max_xx_dists,min_xx_dists,avg_xx_dists,v_m,v_x,iv,iv_p1,est_hubbard_u,est_charge_trans,volume_per_site
LaCuO3,0,../data/Structures/Metals/LaCuO3_CollCode_73554.cif,87,74,23.28,122.90607,50.089934,40.9086408,15.9994,1302.97,543.034,585.8808,13,4.32,16,6,4,3.2,1.44,207,141,107.4,49.68,1.1,3.44,2.34,2.664,0.9312,3.44,0.32,2,4,2.4,1.92,4,10,2.2,3.12,0,0,0,3,8,6.4,1.84,6,1,0.32,0,2,2,1.2,0.96,2,9,2.88,0,0,1,8,3.2,2.32,2,9.105,27.7925,15.0565,8.7364,9.105,0,0,0,225,213,91,94.8,12,-2,5,3.273268354,-33.1963344,0.080788148,1.098777031,0.798029631,0.001494503,0.124945424,0.12345092,0.085444326,0.047401318,0.143091218,0.17490188,1,0,3.870573596,1.952442824,1.952442824,1.952442824,3.521912543,2.732650191,2.944153343,-37.94382116,22.34021971,36.841,57.38,16.81871161,8.357028111,11.59474465
LaNiO3,0,../data/Structures/Metals/LaNiO3_CollCode_67714.cif,87,74,24,122.90607,49.119414,39.7440168,15.9994,1673.2,617.08,674.736,13,4.56,16,6,4,3.2,1.44,207,141,105.8,47.76,1.1,3.44,2.34,2.666,0.9288,3.44,0,2,4,2.4,1.92,4,8,1.8,2.48,0,0,0,3,7,6.2,1.52,6,0,0,0,2,2,1.2,0.96,2,9,2.72,0,0,2,7,3.4,2.24,2,9.105,27.7925,14.9065,8.7964,9.105,0,0,0.190526304,225,213,91,94.8,12,-2,5,3.273268354,-33.53280898,0.080781511,1.098843534,0.798046222,0.001611745,0.124763628,0.123151884,0.085267021,0.047395929,0.143094675,0.381625687,1,0,3.831608844,1.932730134,1.932730134,1.932730134,3.486840561,2.703923068,2.914259428,-38.33103051,22.56603173,35.187,54.92,15.97487891,10.54882688,11.24771902
LaRuO3,0,../data/Structures/Metals/LaRuO3_CollCode_75569.cif,87,74,25.2,122.90607,57.594734,49.9144008,15.9994,2552.2,792.88,885.696,13,5.04,16,6,4,3.4,1.68,207,141,110.2,53.04,1.1,3.44,2.34,2.724,0.8592,3.44,0.32,2,4,2.4,1.92,4,7,1.6,2.16,0,0,0,3,5,5.8,1.12,6,1,0.32,0,2,2,1.2,0.96,2,9,2.88,0,0,2,7,3.8,2.16,2,9.105,27.7925,15.5445,8.5412,9.105,0,0,0,194,182,84.8,87.36,12,-2,5,3.273268354,-32.52500262,0.073630144,1.067453778,0.81592464,0.00877332,0.143514399,0.13474108,0.098274831,0.041537959,0.130910145,0.020493113,1,0,3.957937348,2.046775858,2.012547147,2.030541707,3.5887697,2.858085138,2.977909775,-36.052266,22.12470373,28.47,45,12.89182973,14.90462246,12.43751367
LiTi2O4,0,../data/Structures/Metals/LiTi2O4_CollCode_51184.cif,87,86,28.40816327,40.926,23.81037143,13.7466449,15.9994,1886.2,650.6985714,737.315102,15,6.367346939,16,4,2,2.571428571,0.816326531,160,94,101.7142857,40.81632653,0.98,3.44,2.46,2.545714286,1.022040816,3.44,0.244897959,2,4,2.285714286,1.959183673,4,2,0.571428571,0.816326531,0,0,0,1,5,4.714285714,1.469387755,6,1,0.244897959,0,2,2,1.142857143,0.979591837,2,8,3.265306122,0,0,1,7,3.571428571,2.530612245,2,9.105,7.585,12.34190476,3.699319728,9.105,0,0,9.19728E-06,229,217,95,94.85714286,12,-2,6,3.130495168,-30.22045696,0.053759854,1.107519708,0.939699957,0.02448463,0.181737806,0.157253176,0.119178949,0.050814247,0.124230083,0.277240952,0,1,3.347797037,2.034012121,1.950349787,1.997245185,2.971681948,2.6044182,2.794197249,-38.39138722,25.62287673,35.37944,71.283085,31.60241352,13.71425218,8.93867095
MoO2,0,../data/Structures/Metals/MoO2_CollCode_80830.cif,87,37,16.44444444,79.9606,42.65293333,35.53804444,15.9994,2841.2,1001.866667,1262.755556,10,4.444444444,16,5,3,3,1.333333333,154,88,95.33333333,39.11111111,2.16,3.44,1.28,3.013333333,0.568888889,3.44,0.444444444,2,4,2.666666667,1.777777778,4,5,1.666666667,2.222222222,0,0,0,6,0,6,0,6,1,0.444444444,0,2,2,1.333333333,0.888888889,2,5,2.222222222,0,0,2,4,3.333333333,1.777777778,2,9.105,6.585,11.3,2.926666667,9.105,0,0,0,229,217,84.33333333,96.44444444,12,-2,6,4.242640687,-45.10673687,0.094367455,1.077597326,0.858448817,0.035479704,0.163828966,0.128349262,0.118763778,0.055522716,0.178309445,0.322788123,1,0,2.512707328,2.074889107,1.971074584,2.010207988,3.384743701,2.715671398,2.88069032,-42.54968525,26.25677881,40.33,54.417,8.356268913,13.60238431,10.95913936
NbO,0,../data/Structures/Metals/NbO_CollCode_237585.cif,87,40,20,76.90698,54.45289,38.45349,15.9994,2695.2,1402.4,1347.6,11,5.5,5,5,3,3.5,1.5,164,98,115,49,1.6,3.44,1.84,2.52,0.92,1.6,0.5,1,4,2,2,0,4,2,2,0,0,0,5,1,5.5,0.5,5,1,0.5,0,2,2,1,1,0,6,3,0,0,2,5,4.5,2.5,2,9.105,9.075,13.6425,4.5375,9.105,0,0,0,229,217,120.5,108.5,12,-2,4,2.828427125,-20.57308131,2.22045E-16,1,1,0.171572875,0.171572875,8.32667E-17,0.171572875,2.31296E-17,2.37779E-16,0.277240952,1,0,2.978086275,2.105825,2.105825,2.105825,2.978086275,2.978086275,2.978086275,-20.57241645,20.57241645,14.32,25.04,5.884797568,12.27600804,12.45103828
OsO2,0,../data/Structures/Metals/OsO2_CollCode_15070.cif,87,30,13.33333333,174.2306,74.07626667,77.43582222,15.9994,3251.2,1138.533333,1444.977778,8,3.555555556,16,6,4,3.333333333,1.777777778,144,78,92,34.66666667,2.2,3.44,1.24,3.026666667,0.551111111,3.44,0,2,4,2.666666667,1.777777778,4,6,2,2.666666667,0,14,6.222222222,6,16,11.33333333,7.111111111,6,0,0,0,2,2,1.333333333,0.888888889,2,4,1.777777778,0,0,2,2,2.666666667,0.888888889,2,9.105,4.985,10.76666667,2.215555556,9.105,0,0,0,194,182,72.66666667,80.88888889,12,-2,6,4.242640687,-46.43866148,0.092226383,1.069169787,0.861660425,0.019386981,0.169393609,0.150006629,0.1193914,0.066669613,0.160967636,0.164449672,1,0,3.558181396,2.006474738,1.960867109,1.983670923,2.805519683,2.442651076,2.684563481,-44.38707976,25.26988093,41,55,9.953087154,13.68705256,10.7470953
ReO2,0,../data/Structures/Metals/ReO2_CollCode_154021.cif,87,33,14.66666667,170.2076,72.73526667,75.64782222,15.9994,3404.2,1189.533333,1512.977778,9,4,16,6,4,3.333333333,1.777777778,151,85,94.33333333,37.77777778,1.9,3.44,1.54,2.926666667,0.684444444,3.44,0,2,4,2.666666667,1.777777778,4,5,1.666666667,2.222222222,0,14,6.222222222,6,15,11,6.666666667,6,0,0,0,2,2,1.333333333,0.888888889,2,5,2.222222222,0,0,2,3,3,1.333333333,2,9.105,5.55,10.955,2.466666667,9.105,0,0,0,194,182,72.66666667,80.88888889,12,-2,6,4.242640687,-45.9305686,0.098515635,1.073886727,0.852226547,0.007270774,0.167892628,0.160621854,0.11435201,0.071387491,0.179853547,0.277240952,1,0,3.67183828,1.997461943,1.971939016,1.984700479,2.841872195,2.806848356,2.818522969,-43.43159163,25.4622408,39.1,51.9,8.878353974,14.82768992,10.77370787
ReO3,0,../data/Structures/Metals/ReO3_CollCode_77679.cif,87,33,12.375,170.2076,58.5513,63.82785,15.9994,3404.2,905.85,1276.575,9,3.375,16,6,4,3,1.5,151,85,87.25,31.875,1.9,3.44,1.54,3.055,0.5775,3.44,0,2,4,3,1.5,4,5,1.25,1.875,0,14,5.25,6,15,9.75,5.625,6,0,0,0,2,2,1.5,0.75,2,5,1.875,0,0,2,3,2.75,1.125,2,9.105,5.55,10.4925,2.08125,9.105,0,0,0,194,182,57.5,68.25,12,-2,8,5.656854249,-68.756142,0.100448693,1.066965796,0.799102613,2.36822E-16,0.095772854,0.095772854,0.07182964,0.03591482,0.25,0.277240952,1,0,3.7504,1.8752,1.8752,1.8752,2.651933272,2.651933272,2.651933272,-63.15276233,28.52395017,67,82.71,11.87050288,9.286902257,13.18781295
RhO2,0,../data/Structures/Metals/RhO2_CollCode_28498.cif,87,28,12.44444444,86.9061,44.9681,38.62493333,15.9994,2182.2,782.2,969.8666667,7,3.111111111,16,5,3,3,1.333333333,142,76,91.33333333,33.77777778,2.28,3.44,1.16,3.053333333,0.515555556,3.44,0.444444444,2,4,2.666666667,1.777777778,4,8,2.666666667,3.555555556,0,0,0,6,3,7,1.333333333,6,1,0.444444444,0,2,2,1.333333333,0.888888889,2,2,0.888888889,0,0,2,1,2.333333333,0.444444444,2,9.105,4.535,10.61666667,2.015555556,9.105,0,0,0,225,213,83,94.66666667,12,-2,6,4.242640687,-47.23793101,0.094571752,1.070928814,0.858142372,0.031193429,0.176884315,0.145690886,0.128320686,0.064751505,0.164466104,32.48132765,1,0,3.528108397,2.017533473,1.928175369,1.972854421,2.790752868,2.309377938,2.630294558,-45.10340373,25.75232081,42,63,16.91859195,13.84601722,10.35951815
Ru4Pb4O13,0,../data/Structures/Metals/Pb2Ru2O6.5_SD_1603162.cif,87,31,9.124716553,191.2006,68.62248571,65.15239184,15.9994,2552.2,644.8971429,747.4677551,8,2.358276644,16,6,4,3.333333333,1.650793651,146,80,96.47619048,37.7324263,2.2,3.44,1.24,2.992380952,0.554195011,3.44,0.308390023,2,4,2.857142857,1.414965986,4,10,3.238095238,4.009070295,0,14,4.317460317,6,22,10.57142857,6.639455782,6,1,0.308390023,0,4,4,2,0.761904762,2,3,0.925170068,0,0,2,2,2.761904762,0.943310658,2,9.105,19.005,13.56404762,5.541315193,9.105,0,0,0,225,213,87.23809524,93.15192744,12,-2,7,3.563932225,-39.94450307,0.07706923,1.0946831,0.797693271,0.004530465,0.198543548,0.194013083,0.096624049,0.03508327,0.154471494,0.277240952,1,0,3.62820025,1.972213032,1.954365957,1.963289495,3.662039551,2.675606379,2.968112306,-48.72386882,25.63212405,52,67.5,11.53118654,7.310726178,12.86558211
RuO2,0,../data/Structures/Metals/RuO2_CollCode_15071.cif,87,31,13.77777778,85.0706,44.35626667,37.80915556,15.9994,2552.2,905.5333333,1134.311111,8,3.555555556,16,5,3,3,1.333333333,146,80,92.66666667,35.55555556,2.2,3.44,1.24,3.026666667,0.551111111,3.44,0.444444444,2,4,2.666666667,1.777777778,4,7,2.333333333,3.111111111,0,0,0,6,2,6.666666667,0.888888889,6,1,0.444444444,0,2,2,1.333333333,0.888888889,2,3,1.333333333,0,0,2,2,2.666666667,0.888888889,2,9.105,4.405,10.57333333,1.957777778,9.105,0,0,0,194,182,72.66666667,80.88888889,12,-2,6,4.242640687,-46.92078229,0.094996851,1.071247638,0.857504724,0.012986343,0.168947274,0.155960931,0.116960297,0.069315969,0.166429107,0.151495811,1,0,3.5357211,1.983595123,1.942596304,1.963095713,2.776387943,2.467313292,2.67336306,-44.78172551,25.59898033,45,59,9.927379566,10.33471515,10.44706378
Sr2MoO4,0,../data/Structures/Metals/Sr2MoO4_CollCode_152123.cif,87,79,31.83673469,79.9606,47.88537143,36.4411102,15.9994,2841.2,745.0285714,788.8326531,14,6.204081633,16,5,3,3.285714286,1.469387755,195,129,115.4285714,56.48979592,0.95,3.44,2.49,2.545714286,1.022040816,3.44,0.244897959,2,4,2.285714286,1.959183673,4,5,0.714285714,1.224489796,0,0,0,2,4,4.857142857,1.632653061,6,1,0.244897959,0,2,2,1.142857143,0.979591837,2,5,1.224489796,0,0,0,6,2,1.142857143,2,9.105,45.125,22.93857143,17.88081633,9.105,0,0,0,229,217,103.8571429,104.9795918,12,-2,6,3.16227766,-30.83081037,0.062625592,1.066392905,0.794428316,0.053585715,0.133860707,0.080274992,0.090299085,0.030590015,0.170323526,0.261573107,1,0,6.998809716,2.2084031,1.9588,2.08360155,3.422817429,2.770161526,3.000122248,-42.22296673,25.93159688,40.33,54.417,12.02955729,13.20280535,14.09182804
Sr2RuO4,0,../data/Structures/Metals/Sr2RuO4_CollCode_41604.cif,87,79,30.85714286,85.0706,48.61537143,37.27539592,15.9994,2552.2,703.7428571,741.6489796,14,5.87755102,16,5,3,3.285714286,1.469387755,195,129,114.2857143,55.18367347,0.95,3.44,2.49,2.551428571,1.015510204,3.44,0.244897959,2,4,2.285714286,1.959183673,4,7,1,1.714285714,0,0,0,2,6,5.142857143,1.795918367,6,1,0.244897959,0,2,2,1.142857143,0.979591837,2,3,0.734693878,0,0,0,4,1.714285714,0.979591837,2,9.105,45.125,22.62714286,18.05877551,9.105,0,0,0,225,213,98.85714286,99.26530612,12,-2,6,3.16227766,-31.42648985,0.067290006,1.064383323,0.781001556,0.030367192,0.127591947,0.097224755,0.07530104,0.036376007,0.191329622,0.247260431,1,0,6.933059175,2.0638314,1.9355,1.9996657,3.538322193,2.73721035,2.932195347,-44.00696681,25.58628802,45,59,11.92304528,9.681410175,13.63570221
Sr3Ru2O7,0,../data/Structures/Metals/Sr3Ru2O7_CollCode_33803.cif,87,79,29.06944444,85.0706,48.08298333,37.43084722,15.9994,2552.2,728.9666667,786.5277778,14,5.638888889,16,5,3,3.25,1.458333333,195,129,111.5833333,53.18055556,0.95,3.44,2.49,2.610833333,0.967361111,3.44,0.277777778,2,4,2.333333333,1.944444444,4,7,1.166666667,1.944444444,0,0,0,2,6,5.333333333,1.666666667,6,1,0.277777778,0,2,2,1.166666667,0.972222222,2,3,0.833333333,0,0,0,4,1.833333333,0.916666667,2,9.105,45.125,21.12041667,16.55479167,9.105,0,0,0,225,213,95.58333333,97.51388889,12,-2,6,3.246010685,-33.52110857,0.072296168,1.100390592,0.783111497,0.003565462,0.124438291,0.120872829,0.074022609,0.045394165,0.181937167,0.20173703,1,0,3.9953088,2.014096,1.94528137,1.975578285,3.555414138,2.750857511,2.855527445,-44.70396991,24.81105053,45,59,10.39586057,9.515376594,12.96012039
SrCoO3,0,../data/Structures/Metals/SrCoO3_CollCode_184078.cif,87,79,25.92,71.6206,38.910279,27.4930548,15.9994,1713.2,596.48,650.016,14,5.04,16,5,3,3,1.2,195,129,103.8,45.36,0.95,3.44,2.49,2.63,0.972,3.44,0,2,4,2.4,1.92,4,7,1.4,2.24,0,0,0,2,7,5.8,1.52,6,0,0,0,2,2,1.2,0.96,2,3,0.96,0,0,0,3,1.8,0.72,2,9.105,45.125,18.358,14.3488,9.105,0,0,0.495510784,225,213,91,94.8,12,-2,6,3.380617019,-36.98798053,0.084157582,1.116671577,0.789606045,4.07287E-17,0.12240775,0.12240775,0.07344465,0.05875572,0.15,0.29245846,1,0,3.855,1.9275,1.9275,1.9275,2.725896641,2.725896641,2.725896641,-46.23376175,24.11486329,51.27,79.5,24.49468223,3.8971735,11.45785028
